smiles,split
OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,test
Cc1occc1C(=O)Nc2ccccc2,test
CC(C)=CCCC(C)=CC(=O),train
c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,val
c1ccsc1,val
c2ccc1scnc1c2 ,train
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,train
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,train
ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,val
COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,val
O=C1CCCN1,test
Clc1ccc2ccccc2c1,train
CCCC=C,train
CCC1(C(=O)NCNC1=O)c2ccccc2,val
CCCCCCCCCCCCCC,train
CC(C)Cl,train
CCC(C)CO,train
N#Cc1ccccc1,train
CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,train
CCCCCCCCCC(C)O,train
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,train
O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,test
CCOP(=S)(OCC)SCSCC,train
CCOc1ccc(NC(=O)C)cc1,train
CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,train
CCCCCCCO,train
Cn1c(=O)n(C)c2nc[nH]c2c1=O,train
CCCCC1(CC)C(=O)NC(=O)NC1=O,train
ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,test
CCCCCCCC(=O)OC,train
CCc1ccc(CC)cc1,train
CCOP(=S)(OCC)SCSC(C)(C)C,train
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,train
ClC(=C)Cl,train
Cc1cccc2c1Cc3ccccc32,train
CCCCC=O,train
N(c1ccccc1)c2ccccc2,test
CN(C)C(=O)SCCCCOc1ccccc1,train
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,test
CCCCCCCI,train
c1c(Cl)cccc1c2ccccc2,train
OCCCC=C,train
O=C2NC(=O)C1(CCC1)C(=O)N2,test
CC(C)C1CCC(C)CC1O ,train
CC(C)OC=O,train
CCCCCC(C)O,train
CC(=O)Nc1ccc(Br)cc1,train
c1ccccc1n2ncc(N)c(Br)c2(=O),train
COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,val
c2c(C)cc1nc(C)ccc1c2 ,train
CCCCCCC#C,train
CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,test
c1ccc2c(c1)ccc3c4ccccc4ccc23,train
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,train
Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,train
Cc1ccccc1O,train
CC(C)CCC(C)(C)C,train
Cc1ccc(C)c2ccccc12,train
Cc1cc2c3ccccc3ccc2c4ccccc14,train
CCCC(=O)C,train
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,train
CCCOC(=O)CC,train
CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,train
Nc1ccc(O)cc1,train
O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,test
OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,val
CCNc1nc(Cl)nc(n1)N(CC)CC,train
NC(=O)c1cnccn1,test
CCC(Br)(CC)C(=O)NC(N)=O,train
Clc1ccccc1c2ccccc2Cl ,train
O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 ,test
Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,train
CC1(C)C2CCC1(C)C(=O)C2,train
O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,train
CCCCC(=O)OCC,train
CC(C)CCOC(=O)C,train
O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,train
Clc1cccc(c1)c2cc(Cl)ccc2Cl ,train
CCCBr,train
CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,test
COP(=S)(OC)SCC(=O)N(C)C=O,train
Cc1ncnc2nccnc12,train
NC(=S)N,train
Cc1ccc(C)cc1,train
CCc1ccccc1CC,train
ClC(Cl)(Cl)C(Cl)(Cl)Cl,train
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,test
CCCN(=O)=O,train
CC(C)C1CCC(C)CC1=O,val
CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,train
O=N(=O)c1c(Cl)c(Cl)ccc1,train
CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,train
c1ccc2c(c1)c3cccc4cccc2c34,val
CCCOC(C)C,train
Cc1cc(C)c2ccccc2c1,train
CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,test
c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,train
Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,train
C1OC1c2ccccc2 ,test
CC(C)c1ccccc1,train
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,train
c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ,val
C1OC(O)C(O)C(O)C1O,train
ClCCl,train
CCc1cccc2ccccc12,train
COC=O,train
Oc1ccccc1N(=O)=O,train
Cc1c[nH]c(=O)[nH]c1=O ,train
CC(C)C,train
OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,test
Oc1c(I)cc(C#N)cc1I,train
Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,train
CCCCC,train
c1ccccc1O,train
Nc3ccc2cc1ccccc1cc2c3 ,train
Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ,train
c1ccc2cnccc2c1,test
COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,train
CCCCCCc1ccccc1,train
Clc1ccccc1c2ccccc2,train
CCCC(=C)C,train
CC(C)C(C)C(C)C,train
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,train
Oc1cccc(c1)N(=O)=O,train
CCCCCCCCC=C,train
CC(=O)OCC(COC(=O)C)OC(=O)C,train
CCCCc1c(C)nc(nc1O)N(C)C ,train
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,train
c1ccncc1,train
CCCCCCCBr,train
Cc1ccncc1C,train
CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ,train
CCSCc1ccccc1OC(=O)NC ,train
CCOC(=O)CC(=O)OCC,train
CC1=CCC(CC1)C(C)=C,train
C1Cc2ccccc2C1,test
CC(C)(C)c1ccc(O)cc1,train
O=C2NC(=O)C1(CC1)C(=O)N2 ,test
Clc1cccc(I)c1,train
Brc1cccc2ccccc12,train
CC/C=C/C,train
Cc1cccc(C)n1,train
ClC=C(Cl)Cl,train
Nc1cccc2ccccc12,train
Cc1cccc(C)c1,train
Oc2ncc1nccnc1n2,train
CO,train
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,train
CCC(=O)C,train
Fc1c[nH]c(=O)[nH]c1=O ,train
Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O ,val
Oc1cccc(O)c1,train
CCCCCCO,train
CCCCCCl,train
C=CC=C,train
CCCOC(=O)C,train
Oc2ccc1CCCCc1c2 ,val
NC(=O)CCl ,train
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,train
Cc1ccc(Cl)cc1,train
CSc1nnc(c(=O)n1N)C(C)(C)C,val
Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,test
CCCCCC=O,train
CCCCOC(=O)c1ccc(N)cc1,train
O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 ,train
CC(C)=CCC/C(C)=C\CO,train
Clc1ccc(cc1)c2ccccc2Cl ,train
O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,train
CCN(=O)=O,train
CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,train
Clc1ccc(Cl)c(Cl)c1Cl,train
CCCC(C)(COC(N)=O)COC(N)=O ,train
CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C ,val
CI,train
CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,test
O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,train
CC1=CC(=O)CC(C)(C)C1 ,train
O=C1NC(=O)NC(=O)C1(CC)C(C)CC,train
CCCCC(=O)CCCC,train
CCC1(CCC(=O)NC1=O)c2ccccc2 ,val
CCC(C)CC,train
CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,test
Cc1ccccc1n3c(C)nc2ccccc2c3=O,val
ClCC#N,train
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,train
CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C ,train
c1ccnnc1,val
Clc1cc(Cl)c(Cl)c(Cl)c1,train
C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,test
Nc1ccccc1O,train
CCCCCCCCC(=O)OCC,train
